geoid_long,census_tract,time_of_year,socioeconomic_group,census_county,census_city,avg_event_rh_max_perc,avg_event_rh_min_perc,tmax,tmin,hist_avg_annual_events,hist_avg_duration
1400000US06027000100,6027000100,Total,"2006 HW","Inyo County",Bishop,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06027000100,6027000100,Total,Vulnerable,"Inyo County",Bishop,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06027000100,6027000100,AM,General,"Inyo County",Bishop,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06027000100,6027000100,JJA,General,"Inyo County",Bishop,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06027000100,6027000100,SO,General,"Inyo County",Bishop,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06027000200,6027000200,SO,General,"Inyo County",Bishop,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06027000200,6027000200,JJA,General,"Inyo County",Bishop,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06027000200,6027000200,AM,General,"Inyo County",Bishop,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06027000200,6027000200,Total,Vulnerable,"Inyo County",Bishop,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06027000200,6027000200,Total,"2006 HW","Inyo County",Bishop,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06027000300,6027000300,Total,"2006 HW","Inyo County",Bishop,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06027000300,6027000300,Total,Vulnerable,"Inyo County",Bishop,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06027000300,6027000300,AM,General,"Inyo County",Bishop,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06027000300,6027000300,JJA,General,"Inyo County",Bishop,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06027000300,6027000300,SO,General,"Inyo County",Bishop,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06027000400,6027000400,SO,General,"Inyo County",Bishop,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06027000400,6027000400,JJA,General,"Inyo County",Bishop,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06027000400,6027000400,AM,General,"Inyo County",Bishop,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06027000400,6027000400,Total,Vulnerable,"Inyo County",Bishop,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06027000400,6027000400,Total,"2006 HW","Inyo County",Bishop,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06027000500,6027000500,SO,General,"Inyo County",Independence,66.58,28.40,83.20,58.60,0.17,4.00
1400000US06027000500,6027000500,JJA,General,"Inyo County",Independence,47.81,18.89,90.68,61.63,0.17,4.80
1400000US06027000500,6027000500,AM,General,"Inyo County",Independence,57.56,22.14,78.16,49.62,0.37,4.18
1400000US06027000500,6027000500,Total,Vulnerable,"Inyo County",Independence,52.26,20.40,86.90,58.63,0.73,3.32
1400000US06027000500,6027000500,Total,"2006 HW","Inyo County",Independence,56.87,21.62,91.73,63.53,0.00,0.00
1400000US06027000800,6027000800,Total,"2006 HW","Inyo County","Death Valley",56.87,21.62,91.73,63.53,0.00,0.00
1400000US06027000800,6027000800,Total,Vulnerable,"Inyo County","Death Valley",52.26,20.40,86.90,58.63,0.73,3.32
1400000US06027000800,6027000800,AM,General,"Inyo County","Death Valley",57.56,22.14,78.16,49.62,0.37,4.18
1400000US06027000800,6027000800,JJA,General,"Inyo County","Death Valley",47.81,18.89,90.68,61.63,0.17,4.80
1400000US06027000800,6027000800,SO,General,"Inyo County","Death Valley",66.58,28.40,83.20,58.60,0.17,4.00
